,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Ba,0.008122055391236536,0.0,0.0,0.0,0.40961650242382136,0.03559610796612317,0.027279838335712098,0.0013868915212593253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00708082215043e-09,0.0,0.0
Co,0.09958898696630526,0.0,0.0040074577666390585,0.0,0.007164561779156,0.019161612005495512,0.022338902801684993,0.4558411301564707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016213662922642955,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,0.6553504649025961,0.0,0.0,0.0,0.0,0.03378055939372319,0.0,0.0,0.024303114032295084,0.0,0.0,0.0,0.14233395883838942,0.0
Na,0.0,0.0,0.0002154035604832763,0.28235073554626916,0.01578291470230138,0.0,0.0,0.0,0.0,0.0,0.0077549862783985795,0.013624515178388837,0.0,0.0,0.0,0.04153748916810582,0.006893369887893983,0.0,0.0,0.0
V,0.11672142071784991,0.0,0.01649788881503816,0.0,0.0,0.0,0.0,0.2884747568542757,0.0,0.0,0.1312308643175761,0.00016647359478422693,0.0,0.0,0.028294345005546395,0.0,0.0,0.0,0.01094095146564869,0.04680217325002509
Sm,0.006128400399057993,0.4712631637802165,0.0,0.0031113762791328777,0.018366481584345794,0.016533738984532736,0.0,0.0,0.0,0.0,0.0,0.07570249615183088,0.0012337368559532185,0.0,0.01140464694302373,0.0,0.043072577187411636,0.0,0.004223294669343858,0.0
Rb,0.0,0.0,0.0,0.347575274610294,0.0009970820784184458,0.0,0.01875127275445717,0.0,0.006702908847596464,0.0,0.0,0.008063016518775123,0.012016714006232625,0.002139524256540618,0.0,0.0,0.02124252386908069,0.0,0.015262278381931033,0.0
Ho,0.0,0.5490649200649634,0.016771899589825768,0.0,0.0,0.0,0.0,0.0,0.03077988673140641,0.0,0.0,0.0,0.011210730362845877,0.0,0.0,0.0,0.010959230776473587,9.58411467816325e-10,0.0,0.0
Os,0.0,0.0,0.3083701219936926,0.0,0.0,0.0,0.0,0.0,0.0,0.3145419249697393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,0.1131047181194085,0.0,0.0,0.0,0.0,0.002281845885891161,0.09164290685248815,0.0,0.0,0.0,0.0,0.025188269693786805,0.0,0.0,0.12208733951180613,0.0,0.0,0.0,0.36214069627928686,0.0
Cu,0.0676967792332987,0.0,1.8578849750078476e-05,0.012147633418565618,0.015321712044133122,0.03013821266744149,0.004882839043056789,0.13583666179443568,0.01538390992659321,0.0,0.02053611571060775,0.0,0.0,0.0,0.23151953323060845,0.0,0.15321287672995793,3.449623896863179e-08,0.0,0.0
S,0.007686263562622358,0.0,0.527665267609515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034786528246017356,0.0,0.0,0.0,0.0,0.2700313900185044,0.0
Br,0.0,0.0,0.2032103204596389,0.0,0.0,0.0,0.006220882743384005,0.0,0.0,0.0,0.0,0.001161327005169334,0.0,0.0,0.45551712074501616,0.0,0.0,0.0,0.0,0.0
Sc,0.0,0.20273084865372118,0.050294603023326806,0.0,0.0,0.015226526833777959,0.02751392054720285,0.01279431459722483,0.1692697439842933,0.02086320317077389,0.006749060912830982,0.15866966218993472,0.0,0.062115791199677806,0.007548890609481009,0.04367576490333167,0.0,0.0,0.016273668060809328,0.0
Gd,0.0072300035915949835,0.5008123408234391,0.0,0.0,0.0,0.0,0.0,0.037786409648275204,0.0,0.0,0.0,0.0,0.0,0.0,0.011026853489861481,0.0015734157140205134,0.0,0.0,0.0,0.0010102750852623065
Sn,0.19289137165968492,0.0,0.0,0.0,0.0,0.0425692748597826,0.07565231268376095,0.06186595443970157,0.021385781248704095,0.0,0.0,0.0,0.0,0.21253740617653413,0.0,0.0,0.1968384805554601,3.3140629364045973e-09,0.0,0.0
Sr,0.0038030895229552914,0.0,0.011813359451266665,0.0,0.5014679352689826,0.018893897809441722,0.026817984130194445,0.0,0.0,0.0,0.0,0.0,0.007008091524027767,0.0,0.0,0.0,0.0033980333954715053,4.329463341376202e-10,0.0,0.0
U,0.01824065253663919,0.0,0.0,0.0,0.0,0.0,0.0,0.0018267996016880525,0.0,0.026116520603537648,0.11666644275276664,0.0,0.503495383929643,0.0,0.0,0.0,0.0,0.0,0.1529500739150352,0.0
Ru,0.08085993120704438,0.0,0.5397456717377696,0.0,0.0,0.0,0.00933931283228305,0.0,0.0,0.1031687098047379,0.01562193833633183,0.02858770877618339,0.0,0.0,0.0,0.0,0.0,0.0,0.0038768105482909574,0.0
W,0.1436716852942164,0.0,0.027520424113676962,0.0,0.0,0.0,0.0,0.0,0.0,0.20707571967270688,0.10896850305371233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20558008480215464,0.0
Er,0.0,0.5514085192784187,0.019167321102960235,0.0,0.0,0.0,0.0,0.0,0.009031541267340668,5.352697555209053e-05,0.021092321312156596,0.0,0.012218648360918764,0.0023426859836524123,0.0,0.0,0.0,0.0,0.0,0.0
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8635148001195027,0.0,0.0
Lu,0.0,0.47151786844665317,0.0,0.0,0.0,0.0,0.0,0.0,0.08284961048624806,0.005933947508991964,0.0,0.016541715921029435,0.0,0.010617951933959376,0.0,0.005769086075640815,0.0,0.0,0.0011273871341330398,0.011690753063836167
Si,0.3302834907332152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002526577660195153,0.0,0.0,0.0,0.0,0.0,0.0
Rh,0.0064981744530999905,0.0,0.3966286630744881,0.0,0.0,0.07040311981594875,0.018989991271784266,0.0,0.07420058815545026,0.1281538225968,0.03389117119031982,0.07439672329238275,0.0,0.0,0.04954671997632543,0.0,0.0,0.0,0.02623247966616148,0.03143371604404085
Ac,0.0,0.0,0.013933025701251869,0.0,0.014237634678626264,0.0,0.0,0.0015339308688823126,0.0,0.0,0.0,0.5849158034112023,0.0,0.0,0.0,0.0,0.0,0.0,0.012363682821360663,0.0
I,0.03497580883042642,0.0,0.1246930656904286,0.0,0.0,0.0,0.0,0.0,0.0,0.08472294787737147,0.0,0.0,0.0,0.0,0.3781243935045785,0.0,0.0,0.0,0.0269379232218702,0.013570353063354615
