,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
O,0.0,0.0,0.0,0.0,0.0,0.0,0.6949832256560377,0.0,0.0,0.0,0.0,0.018676173055176323,0.0,0.0,0.048876506985587945,0.0,0.0,0.0,0.0,0.0
Na,0.0,0.0,0.0,0.28728735929296917,0.0,0.0,0.0,0.0,0.0,0.0,0.006571056630115373,0.01332720710812561,0.0,0.03963478006801146,0.0,0.016391612873992448,0.007397350992848835,0.0038561561456531947,0.0,0.0377275952453938
V,0.10759264232166989,0.0,0.00010470528100874907,0.0,0.0020194750593111547,0.0,0.0,0.3078603478939307,0.0,0.0,0.12981688651783896,0.0,0.00038558515352102025,0.0,0.08737804575695604,0.0,0.0,0.0,0.03121632616682558,0.0
Sm,0.00611743587536143,0.47251684829857266,0.0,0.0020373598726791875,0.0,0.01770459478887484,0.00034338263720780365,0.0,0.0,0.0,0.0,0.07665245955541469,0.001169194874262188,0.0,0.0007588115270832907,0.021640752097935992,0.04149151211365078,0.02229317635769302,0.0,0.0
Rb,0.0006997677337311553,0.0,0.0,0.35491855047709864,0.0020136285596039994,0.0,0.020237491845830353,2.72473887223819e-06,0.010173048518315023,0.0,0.0,0.006209755376974229,0.014958082892989341,0.0,0.007281113651914051,0.0,0.022314352269444768,0.0,0.0,0.0
Ho,7.063756365076065e-06,0.5503206585194313,0.016787864413361366,0.0,0.0,0.0,0.0,0.0,0.032984852456487364,0.0,0.0,0.0,0.0101188594618645,0.0,0.0,0.0,0.010716586407779258,0.006327624402422799,0.0,0.001555574446169494
Os,0.0,0.0,0.3259690615188556,0.0,0.0,0.0,0.0,0.0,0.0,0.3338260198452195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,0.11736158367994727,0.0,0.0,0.007100531884935574,0.0,0.0,0.23808948076677192,0.0,0.0,0.024008345797283597,0.0,0.018554340107730338,0.0,0.0,0.15042542646982215,0.0,0.0,0.038413766019001046,0.0,0.0
Cu,0.06546686948700113,0.0,0.0,0.0,0.0,0.0018645827802800776,0.0,0.10389395396395566,0.01439289464881553,0.0,0.021349626894629693,0.0,0.0,0.0,0.0,0.01133441785031804,0.11003098026578216,0.5171850816626608,0.0,0.04992748939220148
S,0.021850742769403412,0.0,0.5918217840809782,0.0,0.025418635167083595,0.0,0.01507888529496207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012867926960462373,0.0,0.0,0.0,0.0,0.0
Br,0.0,0.0,0.0919572415900795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6443819714382197,0.0,0.0,0.0,0.0,0.10079721822240267
Sc,0.0,0.2045722211957995,0.05091003092242197,0.0,0.05651437256383689,0.0173431820007402,0.03709535554345951,0.013665446160105897,0.17868259340252002,0.022763579426698793,0.005283711586311186,0.15338009071857747,0.0,0.04416962002748532,0.022267084940400354,0.0,0.0,0.0,0.0,0.0
